# Every instruction every opcode in text.rs is written as, filled in with x1 to x4, the constant 1
# and [x9, #16], then assembled by GNU as 2.42 (aarch64-linux-gnu-as) and read back with objdump -d.
# Columns: the word GNU as wrote, the line it was given, the opcode.
52800021	mov w1, #1	mov_ri_32
d2800021	mov x1, #1	mov_ri_64
72a00021	movk w1, #1, lsl #16	movk_ri_16_32
f2a00021	movk x1, #1, lsl #16	movk_ri_16_64
f2c00021	movk x1, #1, lsl #32	movk_ri_32_64
f2e00021	movk x1, #1, lsl #48	movk_ri_48_64
2a0203e1	mov w1, w2	mov_rr_32
aa0203e1	mov x1, x2	mov_rr_64
0b030041	add w1, w2, w3	add_rr_32
8b030041	add x1, x2, x3	add_rr_64
4b030041	sub w1, w2, w3	sub_rr_32
cb030041	sub x1, x2, x3	sub_rr_64
0a030041	and w1, w2, w3	and_rr_32
8a030041	and x1, x2, x3	and_rr_64
2a030041	orr w1, w2, w3	orr_rr_32
aa030041	orr x1, x2, x3	orr_rr_64
4a030041	eor w1, w2, w3	eor_rr_32
ca030041	eor x1, x2, x3	eor_rr_64
0a230041	bic w1, w2, w3	bic_rr_32
8a230041	bic x1, x2, x3	bic_rr_64
2a230041	orn w1, w2, w3	orn_rr_32
aa230041	orn x1, x2, x3	orn_rr_64
1b037c41	mul w1, w2, w3	mul_rr_32
9b037c41	mul x1, x2, x3	mul_rr_64
1ac30c41	sdiv w1, w2, w3	sdiv_rr_32
9ac30c41	sdiv x1, x2, x3	sdiv_rr_64
1ac30841	udiv w1, w2, w3	udiv_rr_32
9ac30841	udiv x1, x2, x3	udiv_rr_64
1ac32041	lslv w1, w2, w3	lsl_rr_32
9ac32041	lslv x1, x2, x3	lsl_rr_64
1ac32441	lsrv w1, w2, w3	lsr_rr_32
9ac32441	lsrv x1, x2, x3	lsr_rr_64
1ac32841	asrv w1, w2, w3	asr_rr_32
9ac32841	asrv x1, x2, x3	asr_rr_64
1ac32c41	rorv w1, w2, w3	ror_rr_32
9ac32c41	rorv x1, x2, x3	ror_rr_64
9b437c41	smulh x1, x2, x3	smulh_rr_64
9bc37c41	umulh x1, x2, x3	umulh_rr_64
11000441	add w1, w2, #1	add_ri_32
91000441	add x1, x2, #1	add_ri_64
51000441	sub w1, w2, #1	sub_ri_32
d1000441	sub x1, x2, #1	sub_ri_64
12000041	and w1, w2, #1	and_ri_32
92400041	and x1, x2, #1	and_ri_64
32000041	orr w1, w2, #1	orr_ri_32
b2400041	orr x1, x2, #1	orr_ri_64
52000041	eor w1, w2, #1	eor_ri_32
d2400041	eor x1, x2, #1	eor_ri_64
531f7841	lsl w1, w2, #1	lsl_ri_32
d37ff841	lsl x1, x2, #1	lsl_ri_64
53017c41	lsr w1, w2, #1	lsr_ri_32
d341fc41	lsr x1, x2, #1	lsr_ri_64
13017c41	asr w1, w2, #1	asr_ri_32
9341fc41	asr x1, x2, #1	asr_ri_64
13820441	ror w1, w2, #1	ror_ri_32
93c20441	ror x1, x2, #1	ror_ri_64
1b031041	madd w1, w2, w3, w4	madd_rrr_32
9b031041	madd x1, x2, x3, x4	madd_rrr_64
1b039041	msub w1, w2, w3, w4	msub_rrr_32
